state,Total TFIPSST,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Educational Attainment (Total EEDUCATE),269874,4255,454,6345,2594,26548,3631,2712,711,549,13942,8244,1040,1468,10275,9381,2782,1903,3034,4000,1304,6123,7725,6820,4573,2751,7522,765,1290,1638,1178,10701,1693,13557,7142,599,9496,3029,3103,10032,829,3424,548,7115,19261,1934,580,11783,8664,1760,8581,486
Not in Universe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Less Than 1st Grade,809,4,0,20,12,224,8,28,0,0,32,12,8,4,12,21,0,0,8,12,0,8,16,8,12,0,0,0,0,4,0,32,32,32,12,0,0,0,16,32,0,4,0,0,140,4,0,16,8,0,28,0
1st 2nd 3rd or 4th grade,2052,28,4,52,12,500,28,12,4,0,86,36,12,16,76,48,28,20,8,28,0,32,41,12,16,12,8,0,8,12,0,112,12,68,52,0,16,20,16,17,8,32,0,48,400,0,0,24,56,4,24,4
5th Or 6th Grade,3778,40,8,108,11,902,52,28,12,0,188,110,20,28,202,108,8,32,28,61,0,55,110,32,16,48,27,0,12,28,0,129,37,171,105,0,20,44,21,44,12,24,0,67,656,8,0,84,36,4,42,0
7th Or 8th Grade,7679,120,20,171,85,794,40,73,36,8,291,303,16,38,339,373,46,44,114,119,39,78,137,141,108,144,233,39,20,28,10,242,43,317,258,21,503,72,64,237,22,117,8,256,610,35,4,324,193,103,229,14
9th Grade,8583,181,20,163,84,781,123,75,16,20,315,272,32,36,353,347,43,39,150,122,28,180,255,227,160,131,223,16,52,55,24,273,88,406,245,8,295,109,88,252,15,152,38,270,851,25,14,412,165,60,277,17
10th Grade,9032,218,27,203,120,793,124,80,37,8,443,232,44,50,374,271,92,48,127,127,34,175,240,232,88,116,305,36,47,47,45,256,43,450,297,12,301,107,100,382,25,148,32,307,758,44,36,411,196,76,248,20
11th Grade,9500,208,25,264,79,948,116,84,16,10,352,328,16,52,344,381,74,68,159,142,28,209,176,238,136,172,251,24,40,46,36,296,81,567,320,8,392,93,80,366,24,143,13,315,725,72,16,337,238,44,348,0
12th grade no diploma,3780,104,4,115,52,576,68,28,4,4,223,194,8,12,100,76,32,30,32,77,8,72,88,58,49,80,116,8,12,44,4,116,28,136,72,4,105,20,44,167,28,36,4,143,283,10,0,98,102,8,96,2
